date,state,fips,measure,data_quality_grade,positive tests,day,days_elapsed,yr,week,week_year,month_lbl,month,floor_month,pos_test_7da
2020-07-02,ID,16,positive,A,6370,2,117,2020,27,2020-06-28,Jul,7,2020-06-01,6359.285714285715
2020-07-02,IL,17,positive,A,145935,2,120,2020,27,2020-06-28,Jul,7,2020-06-01,145961.7142857143
2020-07-02,IN,18,positive,A+,46387,2,118,2020,27,2020-06-28,Jul,7,2020-06-01,46502.28571428572
2020-07-02,KS,20,positive,A,14990,2,118,2020,27,2020-06-28,Jul,7,2020-06-01,15231.857142857143
2020-07-02,KY,21,positive,B,16079,2,118,2020,27,2020-06-28,Jul,7,2020-06-01,16002.857142857143
2020-07-02,LA,22,positive,B,61561,2,117,2020,27,2020-06-28,Jul,7,2020-06-01,61245.57142857143
2020-07-02,MA,25,positive,A+,109338,2,112,2020,27,2020-06-28,Jul,7,2020-06-01,109367.28571428571
2020-07-02,MD,24,positive,A,68423,2,119,2020,27,2020-06-28,Jul,7,2020-06-01,68441.14285714286
2020-07-02,ME,23,positive,A+,3328,2,117,2020,27,2020-06-28,Jul,7,2020-06-01,3325.5714285714284
2020-07-02,MI,26,positive,A+,71678,2,123,2020,27,2020-06-28,Jul,7,2020-06-01,71630.71428571429
2020-07-02,MN,27,positive,A,37210,2,118,2020,27,2020-06-28,Jul,7,2020-06-01,37067.71428571428
2020-07-02,MO,29,positive,B,22283,2,117,2020,27,2020-06-28,Jul,7,2020-06-01,22326.428571428572
2020-07-02,MS,28,positive,A,28770,2,117,2020,27,2020-06-28,Jul,7,2020-06-01,28689.714285714286
2020-07-02,MT,30,positive,C,1083,2,117,2020,27,2020-06-28,Jul,7,2020-06-01,1070.2857142857142
2020-07-02,NC,37,positive,A,68142,2,120,2020,27,2020-06-28,Jul,7,2020-06-01,68241
2020-07-02,ND,38,positive,D,3657,2,117,2020,27,2020-06-28,Jul,7,2020-06-01,3672
2020-07-02,NE,31,positive,B,19310,2,119,2020,27,2020-06-28,Jul,7,2020-06-01,19338.14285714286
2020-07-02,NH,33,positive,B,5802,2,120,2020,27,2020-06-28,Jul,7,2020-06-01,5805.714285714285
2020-07-02,NJ,34,positive,A+,172356,2,119,2020,27,2020-06-28,Jul,7,2020-06-01,172342.85714285713
2020-07-02,NM,35,positive,B,12276,2,118,2020,27,2020-06-28,Jul,7,2020-06-01,12367.57142857143
2020-07-02,NV,32,positive,A+,19733,2,119,2020,27,2020-06-28,Jul,7,2020-06-01,19985
2020-07-02,NY,36,positive,A,394954,2,120,2020,27,2020-06-28,Jul,7,2020-06-01,395002.5714285714
2020-07-02,OH,39,positive,B,52865,2,119,2020,27,2020-06-28,Jul,7,2020-06-01,53879.42857142857
2020-07-02,OK,40,positive,A+,14539,2,117,2020,27,2020-06-28,Jul,7,2020-06-01,14602.57142857143
2020-07-02,OR,41,positive,A+,9294,2,120,2020,27,2020-06-28,Jul,7,2020-06-01,9260
2020-07-02,PA,42,positive,A+,88074,2,118,2020,27,2020-06-28,Jul,7,2020-06-01,87982.85714285714
2020-07-02,RI,44,positive,A+,16941,2,123,2020,27,2020-06-28,Jul,7,2020-06-01,16906.285714285714
