date,state,fips,measure,data_quality_grade,COVID tracking deaths,day,days_elapsed,yr,week,week_year,month_lbl,month,floor_month
2020-07-14,MS,28,death,A,1272,14,129,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,MT,30,death,C,34,14,129,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,NC,37,death,A,1552,14,132,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,ND,38,death,D,78,14,129,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,NE,31,death,B,288,14,131,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,NH,33,death,B,391,14,132,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,NJ,34,death,A+,15582,14,131,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,NM,35,death,B,548,14,130,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,NV,32,death,A+,612,14,131,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,NY,36,death,A,24994,14,132,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,OH,39,death,B,3069,14,131,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,OK,40,death,A+,428,14,129,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,OR,41,death,A+,244,14,132,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,PA,42,death,A+,6931,14,130,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,RI,44,death,A+,985,14,135,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,SC,45,death,A,993,14,132,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,SD,46,death,B,109,14,129,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,TN,47,death,A,767,14,131,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,TX,48,death,B,3322,14,132,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,UT,49,death,A+,226,14,129,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,VA,51,death,A+,1977,14,131,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,VT,50,death,B,56,14,130,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,WA,53,death,B,1399,14,174,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,WI,55,death,A+,833,14,132,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,WV,54,death,B,97,14,130,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,WY,56,death,B,22,14,129,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,AK,02,death,A,17,13,129,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,AL,01,death,B,1124,13,128,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,AR,05,death,A,323,13,129,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,AZ,04,death,A+,2245,13,131,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,CA,06,death,B,7040,13,131,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,CO,08,death,A,1586,13,130,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,CT,09,death,B,4371,13,128,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,DC,11,death,A+,568,13,130,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,DE,10,death,A+,517,13,129,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,FL,12,death,A,4381,13,131,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,GA,13,death,A,3026,13,131,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,HI,15,death,D,19,13,128,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,IA,19,death,A+,754,13,129,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,ID,16,death,A,102,13,128,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,IL,17,death,A,7394,13,131,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,IN,18,death,A+,2762,13,129,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,KS,20,death,A,288,13,129,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,KY,21,death,B,629,13,129,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,LA,22,death,B,3423,13,128,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,MA,25,death,A+,8330,13,123,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,MD,24,death,A,3325,13,130,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,ME,23,death,A+,114,13,128,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,MI,26,death,A+,6321,13,134,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,MN,27,death,A,1542,13,129,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,MO,29,death,B,1083,13,128,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,MS,28,death,A,1250,13,128,2020,28,2020-07-12,Jul,7,2020-07-01
