State,polygon,long,lat
New South Wales,2,145.2658997,-35.8525505
New South Wales,2,145.260788,-35.8355484
New South Wales,2,145.2346191,-35.8298302
New South Wales,2,145.2131042,-35.8357964
New South Wales,2,145.1828155,-35.8351021
New South Wales,2,145.1573334,-35.8420334
New South Wales,2,145.1342316,-35.8276062
New South Wales,2,145.1139221,-35.8205872
New South Wales,2,145.0909119,-35.8356247
New South Wales,2,145.0471039,-35.8370934
New South Wales,2,145.0135498,-35.8576393
New South Wales,2,144.994751,-35.8523865
New South Wales,2,144.971283,-35.8608971
New South Wales,2,144.9616699,-35.9116859
New South Wales,2,144.9490051,-35.9319992
New South Wales,2,144.9568176,-35.9617577
New South Wales,2,144.9309998,-35.9684715
New South Wales,2,144.9235992,-35.9887695
New South Wales,2,144.9620514,-36.0193176
New South Wales,2,144.9655151,-36.0374794
New South Wales,2,144.9820557,-36.0482788
New South Wales,2,144.9821777,-36.0719948
New South Wales,2,144.9464874,-36.0823326
New South Wales,2,144.9326172,-36.0670509
New South Wales,2,144.8885803,-36.0635681
New South Wales,2,144.8734131,-36.057682
New South Wales,2,144.8418579,-36.0832863
New South Wales,2,144.8402862,-36.1004677
New South Wales,2,144.8241577,-36.102562
New South Wales,2,144.8057861,-36.1238441
New South Wales,2,144.7938995,-36.1180344
New South Wales,2,144.7779694,-36.129921
New South Wales,2,144.7685089,-36.1158142
New South Wales,2,144.7475891,-36.1212273
New South Wales,2,144.7433624,-36.1088448
New South Wales,2,144.718399,-36.1135635
New South Wales,2,144.7194672,-36.0861664
New South Wales,2,144.6846619,-36.0957909
New South Wales,2,144.6890106,-36.0614166
New South Wales,2,144.6625366,-36.0767059
New South Wales,2,144.6528015,-36.0736008
New South Wales,2,144.6531982,-36.0532379
New South Wales,2,144.625,-36.0520821
New South Wales,2,144.6276398,-36.0666199
New South Wales,2,144.6088104,-36.0648575
New South Wales,2,144.6135407,-36.0514221
New South Wales,2,144.5979157,-36.0377617
New South Wales,2,144.5832825,-36.0390243
New South Wales,2,144.5791779,-36.0210075
New South Wales,2,144.5567627,-36.0136452
New South Wales,2,144.5292053,-35.994133
New South Wales,2,144.5172272,-35.9774322
New South Wales,2,144.4933472,-35.9682159
New South Wales,2,144.4756012,-35.9476929
New South Wales,2,144.4391327,-35.9311638
New South Wales,2,144.4036255,-35.8806648
New South Wales,2,144.4042664,-35.859951
New South Wales,2,144.3814392,-35.8524246
New South Wales,2,144.3756714,-35.8284035
New South Wales,2,144.3647614,-35.8196487
New South Wales,2,144.3757324,-35.8012123
New South Wales,2,144.3524017,-35.786438
New South Wales,2,144.3448334,-35.7706985
New South Wales,2,144.3287964,-35.7549934
New South Wales,2,144.2849884,-35.7372665
New South Wales,2,144.2679138,-35.7537804
New South Wales,2,144.2474365,-35.7290764
New South Wales,2,144.2484131,-35.7215004
New South Wales,2,144.2150421,-35.7044907
New South Wales,2,144.2104797,-35.687492399999996
New South Wales,2,144.1951447,-35.6858597
New South Wales,2,144.1871948,-35.6707459
New South Wales,2,144.167099,-35.6708527
New South Wales,2,144.1515808,-35.6536484
New South Wales,2,144.1191101,-35.6274071
New South Wales,2,144.1057434,-35.5916099
New South Wales,2,144.0622864,-35.576767
New South Wales,2,144.0478516,-35.5561752
New South Wales,2,143.9893799,-35.5531921
New South Wales,2,143.9920349,-35.5340347
New South Wales,2,143.9744721,-35.5323067
New South Wales,2,143.9628296,-35.5147819
New South Wales,2,143.9703369,-35.5004997
New South Wales,2,143.9182587,-35.5007591
New South Wales,2,143.8795929,-35.4872665
New South Wales,2,143.8549805,-35.4703026
New South Wales,2,143.8539276,-35.4615746
New South Wales,2,143.8270264,-35.455101
New South Wales,2,143.8180237,-35.4375458
New South Wales,2,143.8031158,-35.4344559
New South Wales,2,143.7901154,-35.4224777
New South Wales,2,143.7653656,-35.4235039
New South Wales,2,143.7678986,-35.4011803
New South Wales,2,143.74646,-35.3885994
New South Wales,2,143.7084656,-35.3914223
New South Wales,2,143.6833496,-35.3734894
New South Wales,2,143.642334,-35.4010391
New South Wales,2,143.6193542,-35.3827629
New South Wales,2,143.59487910000001,-35.3502884
New South Wales,2,143.5820007,-35.3411102
New South Wales,2,143.5647736,-35.3421288
New South Wales,2,143.5637512,-35.3161202
New South Wales,2,143.5779419,-35.303196
New South Wales,2,143.5908661,-35.2816582
New South Wales,2,143.5760193,-35.2654839
New South Wales,2,143.5644684,-35.2360954
New South Wales,2,143.573822,-35.2348785
New South Wales,2,143.579483,-35.2138023
New South Wales,2,143.5639343,-35.2026253
New South Wales,2,143.5464172,-35.2073898
New South Wales,2,143.5287476,-35.2199516
New South Wales,2,143.5197907,-35.212719
New South Wales,2,143.4923248,-35.2198982
New South Wales,2,143.4714813,-35.2192917
New South Wales,2,143.4648743,-35.2032928
